name,address,hours,phone,menu,description,category,price_range,specialties,area
자매국밥,부산광역시 수영구 민락본동로27번길 56 (민락동),10:00~21:00,051-752-1912,음식,"자매국밥주소부산광역시 수영구 민락본동로27번길 56 (민락동)전화051-752-1912영업시간10:00~21:00휴일일요일 휴무메뉴돼지국밥, 순대국밥, 살코기국밥(각 9천원), 수...",국밥,"9,000~9,000원",['자매국밥'],수영구
홍성방주소부산광역시,부산광역시 동구 중앙대로179번길 1 (초량동),11:00~21:00(마지막 주문 20:00),051-467-3682,음식,"홍성방주소부산광역시 동구 중앙대로179번길 1 (초량동)전화051-467-3682영업시간11:00~21:00(마지막 주문 20:00)휴일월요일 휴무메뉴짜장면(7천원), 해물짬뽕(9천원), 잡채밥, 마파두부밥(각 9천원), 물만두, 찐만두(각 8천원), 군만두, 만둣국(각 9천원), 탕수육(2만8천원), 오향장육(3만원), 깐풍기(3만3천원), 라조기(3만5.",국수/면류,"3,000~9,000원",['대표메뉴'],동구
형제돼지국밥,부산광역시 남구 용소로13번길 29-1 (대연동),08:00~22:00(마지막 주문 21:00),051-625-1014,"메뉴 불꽃국밥, 콩나물해장국밥, 하이브리드국밥(각 1만원), 돼지구리국밥, 마라국밥(각 1만1천원), 맑은국밥, 뽀얀국밥(각 1만원), 보쌈백반(1만4천원)","형제돼지국밥주소부산광역시 남구 용소로13번길 29-1 (대연동)전화051-625-1014영업시간08:00~22:00(마지막 주문 21:00)휴일명절 당일 휴무메뉴불꽃국밥, 콩나물해...",국밥,"1,000~4,000원","['불꽃국밥', '콩나물해장국밥', '하이브리드국밥']",남구
해운대암소갈비집,부산광역시 해운대구 해운대해변로 333 (중동),11:30~15:00/17:00~22:00(마지막 주문 21:00),051-746-0033,"메뉴 한우생갈비(180g 5만8천원), 한우양념갈비(180g 5만4천원), 불고기(200g 4만9천원), 뚝배기된장(6천원)",해운대암소갈비집주소부산광역시 해운대구 해운대해변로 333 (중동)전화051-746-0033영업시간11:30~15:00/17:00~22:00(마지막 주문 21:00)휴일명절 휴무메뉴...,갈비/고기,"4,000~9,000원","['한우생갈비', '한우양념갈비', '갈비구이']",해운대구
할매재첩국주소부산광,부산광역시 사상구 낙동대로1530번길 20-15 (삼락동),07:00~21:00,051-301-7069,"메뉴 재첩국(8천원), 재첩회(소 1만원, 대 1만5천원), 재첩찜(1만원)","할매재첩국주소부산광역시 사상구 낙동대로1530번길 20-15 (삼락동)전화051-301-7069영업시간07:00~21:00휴일연중무휴메뉴재첩국(8천원), 재첩회(소 1만원, 대 1...",생선회/해산물,"5,000~8,000원",['재첩회'],사상구
할매복집,부산광역시 사하구 다대로 12 (당리동),08:35~19:35(마지막 주문 19:15),051-206-9938,"메뉴 은복국(1만2천원), 까치복국(1만8천원), 참복국(2만3천원), 복껍질무침(1만8천원)","할매복집주소부산광역시 사하구 다대로 12 (당리동)전화051-206-9938영업시간08:35~19:35(마지막 주문 19:15)휴일월요일 휴무메뉴은복국(1만2천원), 까치복국(1만...",복요리,"2,000~8,000원",['대표메뉴'],사하구
할매가야밀면,부산광역시 중구 광복로 56-14 (남포동2가),10:30~21:30,051-246-3314,"메뉴 밀면, 비빔면(각 소 8천원, 대 9천원), 왕만두(4개 5천원)","할매가야밀면주소부산광역시 중구 광복로 56-14 (남포동2가)전화051-246-3314영업시간10:30~21:30휴일연중무휴메뉴밀면, 비빔면(각 소 8천원, 대 9천원), 왕만두(...",국수/면류,"5,000~9,000원","['밀면', '비빔면']",중구
포항돼지국밥,부산광역시 부산진구 서면로68번길 27 (부전동),08:30 - 18:30,051-807-5439,"메뉴 돼지국밥, 내장국밥, 섞어국밥, 순대국밥, 따로국밥, 모둠국밥(각 9천원, 특 1만원), 수육백반(1만2천원) 순대한접시(1만3천원), 수육(소 3만원, 대 3만5천원)","포항돼지국밥주소부산광역시 부산진구 서면로68번길 27 (부전동)전화051-807-5439영업시간24시간 영업휴일연중무휴메뉴돼지국밥, 내장국밥, 섞어국밥, 순대국밥, 따로국밥, 모둠...",국밥,"2,000~9,000원","['돼지국밥', '내장국밥', '섞어국밥']",부산진구
평산옥주소부산광역시,부산광역시 동구 초량중로 26 (초량동),10:00~20:00(재료 소진 시 마감),051-468-6255,"메뉴 수육(1인 1만원), 국수(3천원), 열무국수(4천원)","평산옥주소부산광역시 동구 초량중로 26 (초량동)전화051-468-6255영업시간10:00~20:00(재료 소진 시 마감)휴일일요일, 명절 휴무메뉴수육(1인 1만원), 국수(3천원...",국수/면류,"3,000~4,000원",['열무국수'],동구
태화육개장주소부산광,부산광역시 부산진구 서면문화로 18 (부전동),08:30~21:30,051-802-5995,"메뉴 육개장(1만원), 수육, 양무침(각 소 2만5천원, 대 3만5천원)","태화육개장주소부산광역시 부산진구 서면문화로 18 (부전동)전화051-802-5995영업시간08:30~21:30휴일첫째, 셋째 주 일요일 휴무메뉴육개장(1만원), 수육, 양무침(각 ...",국수/면류,"5,000~5,000원",['대표메뉴'],부산진구
