업소명,도로명주소,소재지주소,음식의유형,주된음식종류,전화번호
물꽁집,부산광역시 중구 흑교로59번길 3 (보수동2가),부산광역시 중구 보수동2가 89-6 ,한식,아구탕, 051 2573230
신정식당,부산광역시 중구 해관로 64-1 (중앙동4가),부산광역시 중구 중앙동4가 30-5번지 ,,, 051 4653212
화국반점,"부산광역시 중구 백산길 3, 1~2층 (동광동3가)",부산광역시 중구 동광동3가 2-6 (1~2층) ,중식,유니짜장, 051 2455305
새진주식당,"부산광역시 중구 흑교로 60, 1,2층 (보수동1가)","부산광역시 중구 보수동1가 77-6 (1,2층) ",한식,비빔밥, 051 2569110
부산명물횟집,부산광역시 중구 자갈치해안로 55 (남포동4가),부산광역시 중구 남포동4가 38 ,횟집,생선회, 051245 4995
남포삼계탕,"부산광역시 중구 남포길 16, 1,2층 (남포동3가, 12-0,2,3,6)","부산광역시 중구 남포동3가 12-0 2,3,6 (1,2층) ",한식,삼계탕, 051 2455075
중앙모밀우동,부산광역시 중구 중앙대로49번길 9-1 (중앙동2가),부산광역시 중구 중앙동2가 27 ,분식,메밀, 051 2468686
황태를 벗삼아,"부산광역시 중구 대청로137번길 10-1, 1층 (중앙동3가)",부산광역시 중구 중앙동3가 12-7 (1층) ,한식,황태찜, 051 4685958
서울깍두기,"부산광역시 중구 중앙대로 111 (대창동1가, 2)",부산광역시 중구 대창동1가 27-1 2 ,,설렁탕, 051 4690717
동화반점,부산광역시 중구 흑교로75번길 3 (보수동2가),부산광역시 중구 보수동2가 73-8 ,중식,자장면, 051 2536661
원산면옥,부산광역시 중구 광복로 56-8 (창선동1가),부산광역시 중구 창선동1가 37-1 ,분식,냉면,051 245 2310
장터보신탕,"부산광역시 중구 광복로 19-1, 2층 (부평동1가, 외 2필지)",부산광역시 중구 부평동1가 35-20 외 2필지 (2층) ,한식,영양탕, 051 2469789
가미가 식당,"부산광역시 중구 광복로67번길 12, 1층 (광복동2가)",부산광역시 중구 광복동2가 2-81번지 (1층) ,한식,생선구이, 051 2467998
이재모피자,"부산광역시 중구 광복중앙로 31 (신창동1가, 2, 4-3)","부산광역시 중구 신창동1가 2-1 2, 4-3 ",경양식,"피자,파스타",051 255 9494
무궁화,"부산광역시 중구 충장대로5번길 46, 1층 (중앙동4가)",부산광역시 중구 중앙동4가 78-23 (1층) ,한식,한정식, 051 4632223
기와집,"부산광역시 중구 대청로137번길 7-2, 1층 (중앙동3가, 1층일부)",부산광역시 중구 중앙동3가 19-2 (1층일부) ,한식,송이버섯,051 466 5550
홍익돈까스 부산남포직영점,"부산광역시 중구 광복로 45-8, 1층 (창선동1가)",부산광역시 중구 창선동1가 21 (1층) ,경양식,돈까스, 051 2474503
한우뭉치,"부산광역시 중구 보수대로 106, 2~3층 (보수동3가)",부산광역시 중구 보수동3가 5-16 ,한식,쇠고기, 051 2543250
본참치,"부산광역시 중구 해관로 73, 1층 (중앙동4가, 일광빌딩)",부산광역시 중구 중앙동4가 51 일광빌딩 ,일식,참치회,051 523 8659
