UC_SEQ,MAIN_TITLE,GUGUN_NM,LAT,LNG,PLACE,TITLE,SUBTITLE,ADDR1,ADDR2,CNTCT_TEL,HOMEPAGE_URL,USAGE_DAY_WEEK_AND_TIME,RPRSNTV_MENU,MAIN_IMG_NORMAL,MAIN_IMG_THUMB,ITEMCNTNTS,수집페이지,수집시간,google_place_id,google_name,google_rating,google_review_count,google_address,google_lat,google_lng,review_1_text,review_2_text,review_3_text,review_4_text,review_5_text
,만드리곤드레밥,강서구,35.177387,128.95245,만드리곤드레밥,만드리곤드레밥,,강서구 공항앞길 85번길 13,,051-941-3669,,"10:00-20:00
(19:50 라스트오더)","돌솥곤드레정식, 단호박오리훈제",https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_thumbL,"곤드레밥에는 일반적으로 건조 곤드레나물이 사용되는데,
이곳은 생 곤드레나물을 사용하여 돌솥밥을 만든다.
된장찌개와 함께 열 가지가 넘는 반찬이 제공되는 돌솥곤드레정식이 인기있다
",1,2025-08-23T14:59:00.776628,ChIJh8lcZ6_BaDURkT4nQuMaKbE,만드리곤드레밥,4.1,311,대한민국 부산광역시 강서구 공항앞길85번길 13,35.1772764,128.9524977,음식들이 다 맛있어요^^,"곤드레 정식 12,000원인데
절대 추천 안합니다.
일단 모든 반찬이 맛이 너무 없어요.
또한 반찬 양이 너무 적게 나오고 모든 반찬을 짭게해서 원가절감하시는 듯합니다.
결정적으로 친절하지 않고 카드결제도 잘안되서 현금결제로 할 수 밖에 없게끔 유도하였습니다.
사장님이나 서빙하시는 종업원이나 손님을 맞이하는 태도가 왜 그리 띠꺼워보이는지

돈 내고 밥 먹는데 꼭 얻어 먹는다는 기분이 들정도로 밥 먹는데 힐끗힐끗 기분나쁘게 쳐다보면서 눈치 주지를 않나
한소리 할려다가 꾹 참았습니다.

결론적으로 맛도 없고 불친절해서 돈이 너무너무 아까웠습니다.

음식 맛 100점 만점에 30점
서비스 점수 100점 만점에 마이너스 (-150점)입니다.",메인 요리와 함께 많은 반찬이 포함된 인도 밖에서 먹어본 최고의 채식 식사 중 하나입니다! 김치는 훌륭하고 신선했습니다!,,
,만호갈미샤브샤브,강서구,35.101425,128.92914,만호갈미샤브샤브,만호갈미샤브샤브,,강서구 르노삼성대로 602,,051-271-4389,,"화~금 11:00-15:30 / 17:00-21:30 
(20:30 라스트오더)
주말 11:00-21:30 
(20:30 라스트오더)","갈미샤브샤브 ￦50,000-80,000
갈미조개삼겹살 ￦50,000-80,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250515120924874_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250515120924874_thumbL,"샤브샤브, 수육, 구이 등 다양한 방식으로 갈미조개를 요리하는 갈미조개 전문 식당. 국물이 맛있기로 유명한 이곳은 갈미샤브샤브와 갈미수육이 대표메뉴이다.
",1,2025-08-23T14:59:00.776628,ChIJi7e0GD7DaDURo1tIN5UjXHA,만호갈미샤브샤브,4,11,대한민국 부산광역시 강서구 명지동 번지 2층 1532-14 205호,35.1015093,128.9290333,갈미조개삼겹살 맛집,조개샤브샤브 색다르조합에 맛나게 먹고옴,조개로 샤브샤브를 하니 국물이 개운하고 깔끔한 맛이 좋았다,"밑반찬부터 샤브샤브-칼국수-볶음밥 코스 전부 다 맛있어서 배 터지게 먹고 왔습니다.
가격대는 있지만 그 만큼의 만족감을 느껴요!
통창이 있어 낙동강도 보이고 좋습니다👍",
,민물가든,강서구,35.16055,128.89468,민물가든,민물가든,민물가든,강서구 둔치중앙길5(봉림동) ,,051-971-8428,https://blog.naver.com/rladba1,"24.03.12 ~ 24. 12.31 휴업중
11:00a.m. ~ 21:00p.m.
(break time 15:00~17:00)","묵은지붕어조림, 붕어찜",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_thumbL,"30년간 운영해온 생선찜전문점으로, 전통방식인 나무통을 사용하여 조리하는 것이 특징이다. 20가지 이상의 재료로 만든 양념을 사용하는 이 곳은 묵은지 붕어조림과 붕어찜이 대표메뉴이다.

",1,2025-08-23T14:59:00.776628,ChIJLwBeZs7GaDURmlwo-8LUNVQ,죽림가든,4.4,92,대한민국 부산광역시,35.195716,128.8978521,,음식이 맛있고 강아지 너무 귀여움 ㅋㅋ,,"정갈하고, 맛나네요",반찬 예술 최고의 식당
,부흥식당,영도구,35.085815,129.04071,부흥식당,부흥식당,,영도구 절영로 104,,051-417-0227,,11:00-19:00,"자리돔회 ￦30,000
자리돔물회 ￦12,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418142402873_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418142402873_thumbL,"영도의 유명한 제주 자리돔전문점으로 싱싱한 자리돔과 직접 만든 양념장의 맛이 무척 잘 어울린다.
당일 판매 할 수 있는 한정된 양만 판매하고 있는 이곳은 제주갈치 요리로도 유명하다.
",1,2025-08-23T14:59:00.776628,ChIJsegCxRrpaDURjlwWLBNrITY,부흥식당,3.8,207,대한민국 부산광역시 영도구 절영로 104,35.0858495,129.0406462,"갈치국 비리지않고 맛납니다.
고추가루도 주시는데 개인적으로는 그냥드시는게 나은듯요.
자리돔 물회도 좋구요",,,"특이하고 맛있어요 자리돔 물회 12,000","너무 기대를 했었나...그래도 자리돔회는 맛있었는데, 갈치는 영..."
,사미헌,부산진구,35.159008,129.05666,사미헌													,사미헌													,										,부산진구 서면문화로 19					,,051-819-6677,http://samihunmall.com/,11:00-21:30,"갈비탕, 명장세트",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417140858880_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417140858880_thumbL,"유명한 한우전문점으로 국내 외 유명정상들이 방문했던 곳이기도 한 이 곳은
숙련된 한우 명장이 꼼꼼하고 정직하게 준비한 수준 높은 한우를 만날 수 있다 .
개별 룸이 잘 갖춰져 있어 각종 연회나 행사로도 많이 찾는 곳이다.
",1,2025-08-23T14:59:00.776628,ChIJ6Qnpkm7raDURjwQ_4lUA7ys,사미헌,4.2,1199,대한민국 부산광역시 부산진구 서면문화로 19,35.1589917,129.0566415,너무 맛있네요 고기양도 많고 푸짐하네요~~ 다 먹었습니다~,"종류가 많지만
일반 갈비탕이 제일 맛있었습니다~^^

반찬도 다 먹거나 부족하면
바로 채워주시고, 음식 나오는 스피드도
빠릅니다~~

주차는 바로옆 영광도서 주차장에
잠시 주차하고 식사(유료)하면 됩니다~",,goob,늘 오는 곳인데 오늘도 가족끼리와서 잘 먹고 갑니당ㅎㅎ
,원조할매집,부산진구,35.142147,129.06017,원조할매집,원조할매집,,부산진구 골드테마길 10,,051-643-5037,,10:00-20:50,"낙곱새(낙지/곱창/새우볶음) ￦10,000
각종 사리 ￦1,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417143908074_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417143908074_thumbL,"1968년부터 운영 중인 이곳을 소개하는 것은 딱 한마디면 충분하다.
부산의 향토음식인 ‘조방낙지’가 시작된 곳. 더 이상 무슨 설명이 필요하겠는가.
",1,2025-08-23T14:59:00.776628,ChIJzxbayJzraDURHcALmLWhdVQ,원조할매낙지,4.1,1657,대한민국 부산광역시 부산진구 골드테마길 10,35.142154,129.060169,낙새 좋아요,"혼자 이용했습니다만 서비스도 맛도 좋고, 가격도 싸고 반복 결정입니다. 인기의 가게에서 시모토의 사람이 확실히 내점하고 있었습니다.","낙콥세의 원조라고 불리는 가게.
① 문어 + 밥
② 문어 + 쇠고기 쿵찬 + 밥
③ 문어+새우+밥
④ 문어 + 쇠고기 짠짱 + 새우 + 밥
4종류 중에서 선택.","부산 명물 낙콥세의 가게.
낫콧세는 문어, 호르몬, 새우가 들어간 달콤한 냄비 요리, 점원이 만들어 줍니다.
재료의 국물이 나온 스프가 일품으로, 밥과 함께 먹으면 최고. 맥주에도 적합!
계산대에 있는 분은 간단한 일본은 말할 수 있었습니다.",
,가야할매밀면,연제구,35.185196,129.07988,가야할매밀면,가야할매밀면,가야할매밀면,"부산 연제구 월드컵대로 145번길 32
",,051-865-8017,,11:00-20:00 ,"물 밀면, 비빔밀면
",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_thumbL,"유명한 밀면전문점으로, 밀가루에 옥수수 전분을 섞어, 다른 밀면전문점들보다 더 탄력있는 면이 특징이다. 육수는 돼지뼈와 소뼈에 각종 야채와 여러 한약재를 섞어 만들고, 사이드 메뉴인 만두도 인기 있다.
",1,2025-08-23T14:59:00.776628,ChIJ2c_UkFqTaDURZYtDLt3kxT0,가야할매밀면 연산점,3.5,90,대한민국 부산광역시 연제구 월드컵대로145번길 32,35.1851619,129.0798873,"여름철 밀면 최고죠^^
부산 연제구 동네 맛집이에요.
일단 좁은 길이지만 가게 바로 앞에 주차가능하고요. 연제구는 11시 30분부터 2시까지는 소상공인 활성화를 위해서 점심 시간 주차단속을 안합니다.
가게도 넓고 깨끗해서 많이 안기다리고 바로 먹을 수 있고 정말 친절하십니다.
밀면도 맛있지만 특히 만두가 너무 맛이 좋아요. 직접 만든 만두같아요.
밀면 특성 상 크게 단짠매콤 맛이 강한 것은 아니고요. 기본 양념에 자기 입맛에 따라 양념 추가하면 될 듯요~  깨끗, 시원, 친절해서 더 좋아요~^^",슴슴한 밀면,,,
,국제밀면본점,연제구,35.19689,129.07785,국제밀면본점,국제밀면본점,,연제구 중앙대로1235번길 23-6 ,,051-501-5507,,"10:00-20:00 (라스트오더 19:30)
5~8월 10:00-21:00 (라스트오더 20:30 전후)","물밀면 ￦9,000
비빔밀면 ￦9,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418134454110_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418134454110_thumbL,"밀면전문점 중에서도 특히 맛으로 소문난 이곳은
소 사골만을 사용한 육수 등 독창적인 방식의 밀면을 만들고 있다. 
보통 기계로 잘려진 편육이 고명으로 올려지는데, 이곳은 손으로 일일이 얇게 찢은 
양지머리 고기가 올려지는 것이 특징이다.
",1,2025-08-23T14:59:00.776628,ChIJr-cfHmeTaDURG52i_DsCakQ,국제밀면 본점,4.2,2308,대한민국 부산광역시 연제구 중앙대로1235번길 23-6,35.1968637,129.0778754,개인적으로 최고라 생각하는 밀면집,조금 번잡스럽지만 시원한 밀면을 맛보면 상쇄됨,"나름 유명하다고 하더라구요
배가고파서 허겁지겁먹었지만
저의 생각으로는 따로 가시는곳 있으면 거기가 더 좋을수도 있겠다는 생각이 들었구요
궁금하시면  한번쯤 가보는것도 괜찮다^^
휠체어 몬 들어가구요
따로 유아의자 없구요
테이블이 따닥따닥~~
손님이 많으면 돈도 잘버는데 화장실을 좀...어떻게 안되는가ㅋ
남자화장실은 잘 모르겠는데 여자화장실은 문이 안 닫아진다는거","부산에 왔다면 밀면은 먹어줘야지 ㅎㅎ
쫄깃한 면발.고명에 올라가는 고기고명 잡내도 없고 부드러운 식감.비빔은 간은 조금 강한듯하지만 중독성 있는 맛.",
,할매가야밀면,중구,35.098934,129.03122,할매가야밀면,할매가야밀면,,중구 광복로 56-14,,051-246-3314,,10:30-21:30,"밀면, 비빔밀면",https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_thumbL,"깔끔한 맛의 육수가 인상적인 40년 전통의 밀면 전문점으로, 
식사시간에는 항상 긴 줄이 늘어서 있지만 140석을 갖춘 넓은 매장으로 인해 
웨이팅 시간은 짧은 편. 항상 청결하게 관리되고 있는 기분 좋은 식당이다.
",1,2025-08-23T14:59:00.776628,ChIJgzJe6ArpaDURQcrcd-tXnco,할매가야밀면,3.9,1838,대한민국 부산광역시 중구 광복로 56-14,35.0989315,129.031225,,,맛있게 잘 먹었음.,,차갑고 맛있습니다. 양도 제대로 있어 배 가득했습니다. 관광객에게도 상냥한 대응이었습니다.
,거인통닭,중구,35.102345,129.02612,거인통닭,거인통닭,,중구 중구로47번길34,,051-246-6079,,"11:30-20:00
13:30-14:30 브레이크 타임",후라이드치킨,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419092440105_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419092440105_thumbL,"3대에 걸쳐 약 60여 년을 운영 중인 유명한 식당으로, 프라이드치킨 단 하나의 메뉴만을 고수하고 있는 이곳은 가장 맛있는 치킨을 이야기할 때 항상 거론되는 곳이다.
",1,2025-08-23T14:59:00.776628,ChIJr5nLYp_paDUR3os__LRqtm0,거인통닭,3.8,942,대한민국 부산광역시 중구 중구로47번길 34,35.1023409,129.0261154,,"댕, 그거 좋다!!!",,"시장가의 편안한 분위기에서 세계 최고 수준의 프라이드치킨을 맛보세요.
지금까지 먹어본 프라이드치킨 중 최고였습니다! 바삭바삭한 식감에 울퉁불퉁한 부분이 많아 더욱 바삭했습니다. 속은 촉촉하고 육즙이 가득했습니다. 간단하지만 든든하고 맛있습니다. 시원한 맥주와 무절임까지 더해지면 완벽한 점심이 될 거예요.
이번 여행에서 한국에서 맛있는 음식을 많이 먹었지만, 두 달이 지난 지금도 이 치킨에 대한 이야기가 끊이지 않습니다...",후라이드치킨은 맛있고 3~4명이 함께 먹을 수 있는 양이고 부평시장에서 쉽게 찾을 수 있고 테이블을 기다릴 필요도 없습니다.
