연번 ,업소명(상호),영업장소재지,경도,위도,위생등급,지정번호,관할기관,지정일자
4,부평동 커피공장,부산광역시 중구 부평2길 28(1층 부평동1가),129.0265344,35.10067615,매우우수,HG220008762,부산광역시 중구,2022-10-13
9,인생아구찜,부산광역시 중구 복병산길 6(대청동1가),129.0319738,35.10321694,매우우수,HG230009021,부산광역시 중구,2023-11-15
10,남포설렁탕,부산광역시 중구 구덕로34번길 5(1층 남포동2가),129.0320454,35.09846593,매우우수,HG220008664,부산광역시 중구,2022-10-12
11,용두산 산수정,부산광역시 중구 광복로 67(2층 광복동2가),129.0324802,35.09902109,우수,HG220008707,부산광역시 중구,2022-10-12
12,돌배기집 부산중앙동점,부산광역시 중구 대청로 127(1층 동광동4가),129.0337922,35.10303016,우수,HG220002776,부산광역시 중구,2022-04-22
13,샤브진,"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 롯데백화점광복점 식품관)",129.0367048,35.09830894,매우우수,HG220008735,부산광역시 중구,2022-10-12
14,반반식당,"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 롯데백화점)",129.0367048,35.09830894,매우우수,HG220010847,부산광역시 중구,2022-12-09
15,모시모시,부산광역시 중구 중앙대로 2(롯데백화점광복점 지상10층 중앙동7가),129.0367048,35.09830894,매우우수,HG190002805,부산광역시 중구,2021-12-27
16,가홍치킨(광복점),부산광역시 중구 중앙대로 2(롯데백화점광복점 지하 1층 중앙동7가),129.0367048,35.09830894,매우우수,HG200009478,부산광역시 중구,2022-12-08
17,경복궁불고기광복점(주)덕용푸드시스템,부산광역시 중구 중앙대로 2(롯데백화점광복점 본관10층 중앙동7가),129.0367048,35.09830894,매우우수,HG230000551,부산광역시 중구,2023-02-16
18,풍원장 롯데광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 10층 중앙동7가),129.0367048,35.09830894,매우우수,HG220000913,부산광역시 중구,2022-02-17
19,로카보어테이블 광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),129.0367048,35.09830894,매우우수,HG230006621,부산광역시 중구,2023-09-06
20,류센소,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하 1층 중앙동7가),129.0367048,35.09830894,매우우수,HG220008667,부산광역시 중구,2022-10-12
21,어보 광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 10층 중앙동7가),129.0367048,35.09830894,매우우수,HG230006567,부산광역시 중구,2023-09-05
22,수수하지만굉장해롯데광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),129.0367048,35.09830894,매우우수,HG230002864,부산광역시 중구,2023-05-16
23,딘타이펑코리아 부산광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),129.0367048,35.09830894,매우우수,HG230006619,부산광역시 중구,2023-09-06
24,차이(Chai)797 롯데광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 중앙동7가),129.0367048,35.09830894,매우우수,HG230001402,부산광역시 중구,2023-03-23
26,샤브보트 롯데백화점광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 10층 중앙동7가),129.0367048,35.09830894,매우우수,HG230006568,부산광역시 중구,2023-09-05
29,홍대개미 롯데백화점광복점,"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 롯데백화점광복점)",129.0367048,35.09830894,매우우수,HG220005094,부산광역시 중구,2022-07-01
30,집밥이좋다 광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),129.0367048,35.09830894,매우우수,HG230002822,부산광역시 중구,2023-05-16
31,명품 칼제비,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),129.0367048,35.09830894,매우우수,HG230006566,부산광역시 중구,2023-09-05
35,퍼틴 롯데백화점 광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),129.0367048,35.09830894,매우우수,HG230002873,부산광역시 중구,2023-05-16
36,황생가 칼국수 롯데백화점 광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),129.0367048,35.09830894,매우우수,HG230002815,부산광역시 중구,2023-05-16
37,델리커리 롯데백화점광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 4층 중앙동7가),129.0367048,35.09830894,매우우수,HG230006553,부산광역시 중구,2023-09-05
38,라온롯데백화점광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),129.0367048,35.09830894,우수,HG230006620,부산광역시 중구,2023-09-06
42,"떡볶이 참 잘하는 집, 떡참 부산대신점",부산광역시 서구 부용로 15-1(서대신동1가),129.0172422,35.10844356,매우우수,HG210010779,부산광역시 서구,2021-11-19
52,꼬기만땅 점보비빔밥,부산광역시 서구 흑교로109번길 6(1층 부용동1가),129.0206849,35.10743206,매우우수,HG230008967,부산광역시 서구,2023-11-14
56,목촌돼지국밥 부산역점,부산광역시 동구 중앙대로179번길 27(부산역 삼정그린코아 더시티 B101호 초량동),129.0372274,35.11356521,매우우수,HG230008535,부산광역시 동구,2023-11-09
57,신발원 신관,부산광역시 동구 대영로243번길 64(초량동),129.0387469,35.11487724,매우우수,HG230002951,부산광역시 동구,2023-05-22
